country_date_id,cases,death
171367,3151,65
57285,123781,1183
167733,73028,1415
7468,1071,7
127556,5724,196
49898,264465,2499
7604,18318,221
140428,44394,651
86990,196527,179
41176,4978,47
11439,39634,38
182185,26261,730
172605,179886,1269
90223,148952,3237
93855,102353,1794
140572,45133,668
30541,14649,113
185103,156499,1726
89201,22815736,177519
183844,180119,3626
67480,2042,11
154094,86363,1968
58657,469047,7477
110855,77,0
52507,270443,6879
21406,1635,21
114960,42558,937
50138,840037,3292
16978,0,0
58334,258062,3709
180017,16919638,101203
149335,2821125,50242
135557,217809,4473
3758,132592,2456
161170,926269,8142
156789,3993,79
91426,13186,379
69382,12078,368
20956,966818,6862
131546,54476,472
124723,86506,2645
7094,5340676,116646
10649,456,7
75189,35800,928
119856,310,0
152957,61955,4907
73198,744754,16679
42584,416677,5124
196113,257340,5599
82107,4113811,70626
95758,273,0
18358,7733,164
3710,132244,2447
56935,1859,67
6566,119301,2178
19251,7411,235
18717,22802,677
112652,671,3
63512,9740,66
53616,1005521,35899
129549,5450,181
38712,13293,179
2818,64612,1719
192299,2072,604
157861,68007,2086
3582,0,0
149315,2275936,39491
5065,38434,151
141714,5,0
59144,8098,314
113779,176752,3780
64408,302301,57318
82412,30663665,404211
9411,4743620,20263
180958,12746,411
12338,1414463,26131
166417,1149407,14821
145223,171717,1961
104589,4507,61
20859,701192,5609
180250,15030321,98760
138212,3224406,205505
106669,21600,657
25314,34264237,682358
117006,14385,524
34869,941987,5226
13135,5434,70
11319,27366,38
106141,2,0
9100,733499,13481
999,42750,227
138482,4152580,216877
100163,49,0
167193,10539,261
127827,9010,310
8761,111972,1524
14712,21128,387
151779,549060,8807
127591,5957,201
16862,1248035,37646
114947,42376,927
76335,13286,213
159898,5889,194
142215,144200,2568
24587,4318971,131341
169027,10,2
154469,56435,27
32362,740954,10817
183681,3372,98
83952,1672319,8043
61647,6792074,113993
195725,125118,4449
139548,3999226,63921
94666,2789,32
99899,20,0
82802,43959321,526212
8295,7378021,8662
33909,916,26
186937,11564,51
49414,0,0
132974,826901,11582
41289,11949,113
134,101,3
160074,16039,863
123139,568,10
42056,27,0
9794,40453,594
